Value,en,Disaggregation combinations using this value,Number of indicators
10 a 14 años,10 a 14 años,1,1
15 a 19 años,15 a 19 años,1,1
15 a 24 años,15 a 24 años,2,2
15 a 64 años,15 a 64 años,3,2
15 años y más,15 años y más,1,1
16 a 24 años,16 a 24 años,1,1
16 a 74 años,16 a 74 años,6,4
16 años y más,16 años y más,1,1
25 a 64 años,25 a 64 años,1,1
menor de 1 mes,menor de 1 mes,1,1
menor de 5 años,menor de 5 años,1,1
Todas las edades o no desagregado por edad,Todas las edades o no desagregado por edad,69,35
Y18T64,Y18T64,4,2
Y25T74,Y25T74,1,1
Y2T17,Y2T17,1,1
